id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop
588336;19/03/2024;terça-feira;08:57:00;BA;101;52;ENTRE RIOS;Condutor Dormindo;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Não;1;0;1;0;0;0;1;1;-11,88304;-38,01352;SPRF-BA;DEL01-BA;UOP04-DEL01-BA
588337;19/03/2024;terça-feira;12:40:00;SC;101;132,3;BALNEARIO CAMBORIU;Transitar na contramão;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Múltipla;Reta;Sim;2;0;1;0;1;0;1;2;-26,99654133;-48,65564711;SPRF-SC;DEL04-SC;UOP03-DEL04-SC
588338;04/02/2024;domingo;19:55:00;RN;406;6,5;MACAU;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;2;0;0;1;1;0;1;2;-5,154483;-36,586954;SPRF-RN;DEL02-RN;UOP01-DEL02-RN
588339;19/03/2024;terça-feira;12:35:00;RJ;465;6;SEROPEDICA;Condutor deixou de manter distância do veículo da frente;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;1;0;0;1;0;0;1;1;-22,754314;-43,692879;SPRF-RJ;DEL06-RJ;UOP02-DEL06-RJ
588341;19/03/2024;terça-feira;10:45:00;SC;101;27;JOINVILLE;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;Viaduto;Sim;2;0;1;0;1;0;1;2;-26,20326146;-48,91348243;SPRF-SC;DEL03-SC;UOP01-DEL03-SC
588343;19/03/2024;terça-feira;13:00:00;PR;376;255,9;CALIFORNIA;Transitar no Acostamento;Colisão frontal;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;Curva;Não;2;0;1;0;1;0;1;2;-23,66985276;-51,35701073;SPRF-PR;DEL07-PR;UOP03-DEL07-PR
588345;19/03/2024;terça-feira;13:50:00;SP;116;287,5;ITAPECERICA DA SERRA;Manobra de mudança de faixa;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;2;0;1;0;1;0;1;2;-23,71441779;-46,87929634;SPRF-SP;DEL04-SP;UOP01-DEL04-SP
588346;19/03/2024;terça-feira;13:30:00;GO;60;189;GUAPO;Velocidade Incompatível;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Múltipla;Reta;Sim;2;0;0;1;1;0;1;2;-16,8222;-49,534;SPRF-GO;DEL01-GO;UOP02-DEL01-GO
588351;19/03/2024;terça-feira;13:20:00;PR;277;451,4;LARANJEIRAS DO SUL;Problema com o freio;Saída de leito carroçável;Sem Vítimas;Pleno dia;Crescente;Nublado;Simples;Rotatória;Não;1;0;0;0;1;0;0;1;-25,3745489;-52,38910662;SPRF-PR;DEL04-PR;UOP02-DEL04-PR
588353;20/02/2024;terça-feira;17:39:00;RJ;101;297;ITABORAI;Trafegar com motocicleta (ou similar) entre as faixas;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Garoa/Chuvisco;Dupla;Declive;Sim;5;0;0;1;3;1;1;4;-22,76942037;-42,91873581;SPRF-RJ;DEL02-RJ;UOP02-DEL02-RJ
588355;19/03/2024;terça-feira;14:50:00;MG;381;528;BRUMADINHO;Chuva;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Curva;Não;3;0;2;0;1;0;2;1;-20,16368096;-44,36025002;SPRF-MG;DEL04-MG;UOP03-DEL04-MG
588359;05/03/2024;terça-feira;11:00:00;GO;70;473;ARAGARCAS;Manobra de mudança de faixa;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;"Retorno Regulamentado;Interseção de Vias;Reta";Sim;2;0;1;0;1;0;1;2;-15,89670872;-52,24027584;SPRF-GO;DEL04-GO;UOP02-DEL04-GO
588360;19/03/2024;terça-feira;15:00:00;SC;101;199,6;SAO JOSE;Manobra de mudança de faixa;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Múltipla;Reta;Não;3;0;2;0;1;0;2;2;-27,53413705;-48,63003205;SPRF-SC;DEL01-SC;UOP01-DEL01-SC
